HIP	Cst	Bayer
443	Psc	     
476	Peg	     
531	Cas	     
635	Cet	     
664	Cet	     
677	And	alf  
746	Cas	bet  
729	Peg	     
761	Scl	kap01
765	Phe	eps  
813	Psc	     
841	And	     
814	Oct	gam03
910	Cet	     
930	Scl	kap02
950	Scl	the  
1067	Peg	gam  
1086	And	     
1168	Peg	chi  
1170	Cet	     
1196	Psc	     
1319	Psc	     
1366	And	the  
1392	Psc	     
1415	Cas	AO   
1473	And	sig  
1501	And	     
1562	Cet	iot  
1595	Psc	     
1599	Tuc	zet  
1645	Psc	d    
1686	And	rho  
1647	Tuc	pi.  
1708	Scl	iot  
1728	Cet	T    
1772	Psc	     
1803	Cet	     
      	And	R    
1960	Cas	     
1902	Tuc	ksi  
2006	Psc	     
2025	Psc	     
2021	Hyi	bet  
2081	Phe	alf  
2072	Phe	kap  
2100	Cet	     
2213	Psc	     
2219	Psc	TV   
2210	Scl	eta  
2224	Psc	     
2355	And	     
2353	Cet	     
2474	Cas	     
2505	Cas	lam  
2472	Phe	lam01
2484	Tuc	bet01
2487	Tuc	bet02
2599	Cas	kap  
2568	Psc	     
2548	Psc	     
2578	Tuc	bet03
2707	Cas	     
2629	Tuc	the  
2762	Cet	     
2787	Cet	     
2802	Phe	lam02
2920	Cas	zet  
2912	And	pi.  
2903	Psc	     
2994	Cet	     
3031	And	eps  
3092	And	del  
3093	Psc	     
3138	Psc	     
3179	Cas	alf  
3231	And	     
3300	Cas	ksi  
3245	Phe	mu.  
3277	Phe	ksi  
3414	Cas	pi.  
3356	Scl	lam01
3330	Tuc	rho  
3419	Cet	bet  
3478	Cas	     
3405	Phe	eta  
3572	Cas	YZ   
3504	Cas	omi  
3455	Cet	phi01
3456	Scl	lam02
3559	Cet	     
3721	Cas	     
3632	Psc	     
3675	Psc	     
3685	Psc	     
3693	And	zet  
3697	Psc	     
3730	Psc	     
3821	Cas	eta  
3760	Psc	     
3801	Cas	nu.  
3786	Psc	del  
3810	Psc	     
3881	And	nu.  
3885	Psc	i    
      	Psc	i    
3909	Cet	phi02
3781	Hyi	lam  
3949	Phe	rho  
4147	Cet	     
4084	Tuc	lam01
4292	Cas	ups01
4267	Psc	     
4257	Cet	     
4288	And	     
4366	Psc	k    
4427	Cas	gam  
4422	Cas	ups02
4371	Cet	phi03
4436	And	mu.  
4293	Tuc	lam02
4463	And	eta  
4510	Psc	h    
4843	Cep	ups  
4587	Cet	phi04
4577	Scl	alf  
5372	UMi	     
4770	Scl	ksi  
4903	And	     
4889	Psc	sig  
4852	Scl	sig  
4906	Psc	eps  
4829	Phe	ome  
4914	Cet	     
4979	Cet	     
5074	Psc	     
5081	Psc	     
5131	Psc	psi01
5132	Psc	psi01
5175	Psc	     
5141	Psc	     
5144	Psc	     
5121	Cet	     
5164	Cet	     
5204	Psc	     
5336	Cas	mu.  
5165	Phe	bet  
5317	And	     
5319	Psc	     
5310	Psc	psi02
5296	Cet	     
5315	Cet	     
5346	Psc	e    
5300	Phe	ups  
5268	Tuc	iot  
5364	Cet	eta  
5434	And	phi  
5518	Cas	     
5447	And	bet  
5348	Phe	zet  
5454	Psc	psi03
5493	And	     
5542	Cas	the  
5589	Cas	     
5485	Cet	     
5510	Cet	     
5550	And	     
5544	Psc	g    
5571	Psc	chi  
5586	Psc	tau  
5594	Cet	     
5646	Cet	     
5742	Psc	phi  
5737	Psc	zet  
5743	Psc	zet  
5778	Psc	     
5799	Cet	     
5824	Psc	     
5833	Cet	     
5862	Phe	nu
5951	Cet	     
5985	Cet	     
      	Cas	S    
5896	Tuc	kap  
6061	Psc	f    
6242	Cas	phi  
6193	Psc	ups  
6312	Cas	     
6226	Cet	     
6315	Psc	l    
6411	And	ksi  
6429	Cet	     
6514	And	     
6692	Cas	psi  
6539	Cet	     
6537	Cet	the  
6686	Cas	del  
6670	Cet	     
6706	Psc	rho  
6732	Psc	     
6813	And	ome  
6748	Cet	     
6815	Psc	     
6759	Scl	R    
11767	UMi	alf  
7078	Cas	     
6867	Phe	gam  
6999	And	A    
6981	Psc	     
6960	Cet	     
7007	Psc	mu.  
7097	Psc	eta  
7083	Phe	del  
7294	Cas	chi  
7364	Psc	     
7345	Cet	     
7436	Psc	     
7650	Cas	     
7513	And	ups  
7450	Cet	     
7463	Scl	tau  
7535	Psc	pi.  
7607	And	     
7719	And	chi  
7710	Psc	     
7588	Eri	alf  
7740	Psc	     
7818	And	tau  
7965	Cas	     
8016	Cas	     
7751	Eri	p    
      	Eri	p    
7884	Psc	nu.  
8046	Cas	     
7981	Psc	     
8068	Per	phi  
7955	Scl	pi.  
7978	Eri	q01  
8159	Psc	     
8102	Cet	tau  
8198	Psc	omi  
8209	Scl	eps  
8271	Ari	     
7879	Hyi	tau01
8240	Phe	     
8241	Eri	q02  
8387	Ari	     
8544	Ari	     
      	Ari	     
8497	Cet	chi  
8704	Per	     
8588	Cet	     
8714	Per	     
8645	Cet	zet  
8886	Cas	eps  
8814	And	     
8796	Tri	alf  
8832	Ari	gam01
      	Ari	gam02
9009	Cas	ome  
8833	Psc	ksi  
8366	Hyi	tau02
8903	Ari	bet  
8837	Phe	psi  
8751	Hyi	eta01
9021	And	     
8882	Phe	phi  
8993	Ari	     
9110	Ari	iot  
9061	Cet	     
9007	Eri	chi  
9222	Per	     
9153	Ari	lam  
8928	Hyi	eta02
9165	Cet	     
9155	Cet	     
9480	Cas	A    
9383	Tri	chi  
9598	Cas	     
9727	Cas	     
9353	Psc	     
9326	Cet	     
9347	Cet	ups  
9564	Cas	     
9573	Cas	     
9505	Per	g    
9236	Hyi	alf  
9763	Cas	     
8991	Hyi	sig  
9440	For	pi.  
9487	Psc	alf  
      	Psc	alf  
9570	Tri	eps  
9459	Phe	chi  
9640	And	gam01
      	And	gam02
9621	Ari	     
9589	Cet	     
9631	Cet	     
9677	For	nu.  
10031	Cas	     
9836	Ari	kap  
9859	Ari	     
9884	Ari	alf  
9977	And	     
10064	Tri	bet  
10053	Ari	     
10227	Per	     
10176	And	     
10180	And	     
10155	Ari	     
10203	Ari	     
10220	Tri	     
10212	Cet	     
10234	Cet	     
10438	Cas	     
10280	Tri	     
10340	And	b    
10366	Per	     
10306	Ari	eta  
10328	Ari	     
10324	Cet	ksi01
10305	Cet	     
10320	For	mu.  
10559	Tri	     
10540	Ari	     
10535	Ari	     
10644	Tri	del  
10718	Per	     
10729	Per	chi  
10670	Tri	gam  
10642	Cet	     
10418	Hyi	pi.01
10732	Ari	the  
10819	And	c    
10602	Eri	phi  
10793	Tri	     
10513	Hyi	pi.02
10826	Cet	omi  
10944	And	     
11060	Per	i    
11021	Cet	     
11046	Cet	     
11220	And	     
11072	For	kap  
11279	Per	     
11313	And	     
11249	Ari	ksi  
11261	Cet	     
11001	Hyi	del  
11569	Cas	iot  
11345	Cet	rho  
11465	And	     
11432	Tri	     
11427	Ari	     
11258	Hor	lam  
11095	Hyi	kap  
11486	Tri	     
11484	Cet	ksi02
11548	Tri	     
11407	Eri	kap  
11477	For	phi  
11678	Ari	     
11698	Ari	     
11784	Tri	     
11791	Cet	     
11783	Cet	sig  
11843	Ari	     
11867	For	lam01
11918	For	ome  
12086	Tri	     
12002	Cet	     
12048	Cet	     
12093	Cet	nu.  
12107	Cet	     
12184	Ari	     
12153	Ari	     
12189	Ari	     
12122	For	iot01
12247	Cet	     
12186	For	lam02
12332	Ari	nu.  
11757	Hyi	mu.  
12288	For	iot02
12225	Hor	eta  
12387	Cet	del  
12390	Cet	eps  
12489	Ari	     
12692	Per	     
12623	Per	     
12413	Eri	s    
12530	Cet	     
12640	Ari	mu.  
12486	Eri	iot  
12647	Cet	     
12777	Per	the  
12768	Per	     
12719	Ari	     
12484	Hor	zet  
12706	Cet	gam  
12394	Hyi	eps  
12784	Ari	     
12803	Ari	omi  
12653	Hor	iot  
12770	Cet	pi.  
12832	Ari	     
12828	Cet	mu.  
13133	Cas	RZ   
12843	Eri	tau01
13061	Ari	     
13108	Ari	     
13367	Cas	SU   
12871	Hor	gam  
13268	Per	eta  
13040	For	eta01
13165	Ari	pi.  
12876	Hyi	zet  
13209	Ari	c    
13254	Per	     
13147	For	bet  
13328	Per	     
13197	For	gam01
13202	For	gam02
13327	Ari	sig  
13225	For	eta02
13288	Eri	tau02
13265	For	eta03
13141	Hor	nu.  
13531	Per	tau  
      	Per	tau  
13490	Per	     
13579	Ari	rho01
13473	For	psi  
13654	Ari	     
13702	Ari	rho  
13244	Hyi	nu.  
13775	Per	     
13701	Eri	eta  
13834	Ari	     
13879	Per	pi.  
13905	Per	     
13782	Eri	     
13914	Ari	eps  
      	Ari	eps  
13835	Eri	     
13954	Cet	lam  
13847	Eri	the01
      	Eri	the02
13951	Eri	     
13942	For	zet  
14040	Eri	     
14109	Ari	     
14060	Eri	rho01
14150	Ari	     
13884	Hor	bet  
14143	Cet	     
14135	Cet	alf  
14086	For	eps  
14328	Per	gam  
      	Per	gam  
14168	Eri	rho02
14382	Per	k    
14146	Eri	tau03
14354	Per	rho  
14293	Eri	rho03
14376	Ari	     
      	Ari	     
14240	Hor	mu.  
14576	Per	bet  
14632	Per	iot  
14514	Ari	     
14131	Hyi	the  
14586	Ari	     
14668	Per	kap  
14677	Ari	     
14817	Per	ome  
14838	Ari	del  
14893	Ari	     
14915	Tau	g    
14954	Cet	     
14879	For	alf  
15110	Ari	zet  
15338	Per	     
15197	Eri	zet  
15404	Per	     
15244	Eri	     
15444	Per	     
15383	Cet	     
15382	Eri	     
15514	Ari	     
15457	Cet	kap  
15557	Ari	     
15648	Per	l    
15474	Eri	tau04
15627	Ari	tau  
15330	Ret	zet01
15619	Cet	     
15510	Eri	e    
15371	Ret	zet02
15696	Ari	     
15737	Ari	     
15863	Per	alf  
15861	Ari	     
15201	Hyi	iot  
15870	Ari	     
15900	Tau	omi  
16083	Tau	ksi  
15987	For	chi01
16244	Per	     
16181	Ari	     
16335	Per	sig  
16112	For	chi02
16156	For	chi03
16322	Tau	s    
16369	Tau	f    
16499	Per	     
16341	Eri	v    
16511	Tau	t    
16245	Ret	kap  
16537	Eri	eps  
16664	Tau	     
16826	Per	psi  
16611	Eri	tau05
16859	Tau	     
16803	Eri	     
16852	Tau	     
16870	Eri	y    
17027	Eri	     
17007	For	tau  
17103	Tau	     
17181	Tau	     
17167	Eri	     
17358	Per	del  
17313	Per	o    
17309	Tau	     
17448	Per	omi  
17408	Tau	     
17304	For	del  
17529	Per	nu.  
17378	Eri	del  
17489	Tau	     
17499	Tau	     
17351	Eri	h    
17527	Tau	     
17531	Tau	q    
17457	Eri	     
17959	Cam	gam  
17573	Tau	     
17506	Eri	     
17579	Tau	     
17588	Tau	     
17563	Tau	u    
17608	Tau	     
      	Tau	eta  
17593	Eri	pi.  
      	Tau	     
17702	Tau	eta  
17618	For	sig  
17651	Eri	tau06
17771	Tau	e    
17440	Ret	bet  
17832	Tau	     
17886	Per	n    
17847	Tau	     
17851	Tau	     
17717	Eri	tau07
17738	For	rho  
17797	Eri	f    
      	Eri	f    
17874	Eri	g    
18089	Tau	     
18141	Eri	     
18246	Per	zet  
17678	Hyi	gam  
18350	Per	X    
18453	Per	A    
18255	Eri	w    
      	Eri	w    
18216	Eri	tau08
18213	Eri	i    
18471	Tau	     
18532	Per	eps  
18485	Tau	     
18614	Per	ksi  
18543	Eri	gam  
18724	Tau	lam  
18673	Eri	tau09
18788	Eri	     
18597	Ret	del  
18907	Tau	nu.  
19009	Tau	     
18957	Tau	     
19038	Tau	A01  
19167	Per	lam  
19076	Tau	A02  
18744	Ret	gam  
18772	Ret	iot  
19171	Tau	     
19205	Tau	psi  
19343	Per	c    
19302	Per	     
19335	Per	     
19388	Tau	     
19513	Tau	p    
19483	Eri	     
19554	Tau	     
19587	Eri	omi01
19515	Hor	del  
19812	Per	mu.  
19811	Per	f    
19719	Tau	     
19740	Tau	     
19777	Eri	A    
19877	Tau	     
19860	Tau	mu.  
20070	Per	b    
19849	Eri	omi02
19747	Hor	alf  
      	Eri	omi02
19990	Tau	ome  
20087	Tau	     
20234	Per	b02  
19780	Ret	alf  
19893	Dor	gam  
20171	Tau	     
20186	Tau	     
20252	Per	     
20205	Tau	gam  
20042	Eri	ups04
20250	Tau	phi  
20215	Tau	     
20354	Per	d    
20219	Tau	h    
19921	Ret	eps  
